Scheme Code,ISIN,Ticker,Company,Sector,Market Cap,Weight %
NIPPON_LARGECAP,INE733E01010,NTPC,NTPC Ltd,Power / Utilities,Large Cap,2.4
NIPPON_LARGECAP,INE917I01010,BAJAJ-AUTO,Bajaj Auto Ltd,Automobile,Large Cap,1.8
UTI_NIFTY50,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,13.2
UTI_NIFTY50,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,9.8
UTI_NIFTY50,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,8.4
UTI_NIFTY50,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,6.1
UTI_NIFTY50,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,4.3
UTI_NIFTY50,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,3.8
UTI_NIFTY50,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,3.5
UTI_NIFTY50,INE237A01028,KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Large Cap,3.2
UTI_NIFTY50,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,2.9
UTI_NIFTY50,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,2.7
UTI_NIFTY50,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,2.5
UTI_NIFTY50,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,2.3
UTI_NIFTY50,INE101A01026,M&M,Mahindra & Mahindra Ltd,Automobile,Large Cap,2.1
UTI_NIFTY50,INE860A01027,HCLTECH,HCL Technologies Ltd,Information Technology,Large Cap,2.0
UTI_NIFTY50,INE280A01028,TITAN,Titan Company Ltd,Consumer Durables,Large Cap,1.8
ABSLLARGECAP,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,9.8
ABSLLARGECAP,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,8.4
ABSLLARGECAP,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,7.9
ABSLLARGECAP,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,6.0
ABSLLARGECAP,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.7
ABSLLARGECAP,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,4.1
ABSLLARGECAP,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,3.6
ABSLLARGECAP,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,3.4
ABSLLARGECAP,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,3.1
ABSLLARGECAP,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,2.9
ABSLLARGECAP,INE237A01028,KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Large Cap,2.7
ABSLLARGECAP,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.2
ABSLLARGECAP,INE733E01010,NTPC,NTPC Ltd,Power / Utilities,Large Cap,2.4
ABSLLARGECAP,INE155A01022,TATAMOTORS,Tata Motors Ltd,Automobile,Large Cap,2.0
ABSLLARGECAP,INE280A01028,TITAN,Titan Company Ltd,Consumer Durables,Large Cap,1.8
DSPTOPP100,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,9.1
DSPTOPP100,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,8.5
DSPTOPP100,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,7.8
DSPTOPP100,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,5.7
DSPTOPP100,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.8
DSPTOPP100,INE018A01030,LT,Larsen & Toubro Ltd,Capital Goods,Large Cap,4.2
DSPTOPP100,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,3.9
DSPTOPP100,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,3.5
DSPTOPP100,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,3.2
DSPTOPP100,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,2.9
DSPTOPP100,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,2.7
DSPTOPP100,INE752E01010,POWERGRID,Power Grid Corporation of India Ltd,Power / Utilities,Large Cap,2.4
DSPTOPP100,INE213A01029,ONGC,Oil & Natural Gas Corporation Ltd,Energy / Oil & Gas,Large Cap,2.1
DSPTOPP100,INE038A01020,HINDALCO,Hindalco Industries Ltd,Metals & Mining,Large Cap,1.9
DSPTOPP100,INE101A01026,M&M,Mahindra & Mahindra Ltd,Automobile,Large Cap,2.2
CANROBLARGER,INE040A01034,HDFCBANK,HDFC Bank Ltd,Financial Services,Large Cap,10.2
CANROBLARGER,INE090A01021,ICICIBANK,ICICI Bank Ltd,Financial Services,Large Cap,8.8
CANROBLARGER,INE009A01021,INFY,Infosys Ltd,Information Technology,Large Cap,7.1
CANROBLARGER,INE002A01018,RELIANCE,Reliance Industries Ltd,Energy / Oil & Gas,Large Cap,7.4
CANROBLARGER,INE467B01029,TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,5.2
CANROBLARGER,INE397D01024,BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Large Cap,4.0
CANROBLARGER,INE238A01034,AXISBANK,Axis Bank Ltd,Financial Services,Large Cap,3.5
CANROBLARGER,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,Financial Services,Large Cap,3.1
CANROBLARGER,INE154A01025,ITC,ITC Ltd,Fast Moving Consumer Goods,Large Cap,2.8
CANROBLARGER,INE237A01028,KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Large Cap,2.9
CANROBLARGER,INE280A01028,TITAN,Titan Company Ltd,Consumer Durables,Large Cap,2.4
CANROBLARGER,INE437A01024,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,Large Cap,2.0
CANROBLARGER,INE089A01023,DRREDDY,Dr. Reddy's Laboratories Ltd,Healthcare,Large Cap,1.8
CANROBLARGER,INE062A01020,SBIN,State Bank of India,Financial Services,Large Cap,2.6
CANROBLARGER,INE021A01026,ASIANPAINT,Asian Paints Ltd,Consumer Durables,Large Cap,1.5
HDFC_MIDCAP,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,4.2
HDFC_MIDCAP,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.8
HDFC_MIDCAP,INE171A01029,FEDERALBNK,Federal Bank Ltd,Financial Services,Mid Cap,4.0
HDFC_MIDCAP,INE006I01046,ASTRAL,Astral Ltd,Building Materials,Mid Cap,3.5
HDFC_MIDCAP,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.2
HDFC_MIDCAP,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.6
HDFC_MIDCAP,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,2.8
HDFC_MIDCAP,INE660A01013,SUNDARMFIN,Sundaram Finance Ltd,Financial Services,Mid Cap,3.0
HDFC_MIDCAP,INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd,Metals & Mining,Mid Cap,2.9
HDFC_MIDCAP,INE326A01037,LUPIN,Lupin Ltd,Healthcare,Mid Cap,2.4
HDFC_MIDCAP,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.8
HDFC_MIDCAP,INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Mid Cap,2.5
HDFC_MIDCAP,INE356A01018,MPHASIS,Mphasis Ltd,Information Technology,Mid Cap,2.9
HDFC_MIDCAP,INE674K01013,ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Mid Cap,2.4
HDFC_MIDCAP,INE603J01030,PIIND,PI Industries Ltd,Chemicals / Agro,Mid Cap,2.2
KOTAK_EMERGING,INE578A01017,SUPREMEIND,Supreme Industries Ltd,Capital Goods,Mid Cap,4.1
KOTAK_EMERGING,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,3.9
KOTAK_EMERGING,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.4
KOTAK_EMERGING,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.8
KOTAK_EMERGING,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.2
KOTAK_EMERGING,INE356A01018,MPHASIS,Mphasis Ltd,Information Technology,Mid Cap,2.9
KOTAK_EMERGING,INE061F01013,FORTIS,Fortis Healthcare Ltd,Healthcare,Mid Cap,2.8
KOTAK_EMERGING,INE226A01021,VOLTAS,Voltas Ltd,Consumer Durables,Mid Cap,3.1
KOTAK_EMERGING,INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Mid Cap,2.5
KOTAK_EMERGING,INE326A01037,LUPIN,Lupin Ltd,Healthcare,Mid Cap,2.1
KOTAK_EMERGING,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.4
KOTAK_EMERGING,INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance,Financial Services,Mid Cap,2.8
KOTAK_EMERGING,INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Mid Cap,2.5
KOTAK_EMERGING,INE093I01010,OBEROIRLTY,Oberoi Realty Ltd,Real Estate,Mid Cap,2.2
KOTAK_EMERGING,INE603J01030,PIIND,PI Industries Ltd,Chemicals / Agro,Mid Cap,2.0
AXIS_MIDCAP,INE006I01046,ASTRAL,Astral Ltd,Building Materials,Mid Cap,4.2
AXIS_MIDCAP,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.9
AXIS_MIDCAP,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,3.5
AXIS_MIDCAP,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.4
AXIS_MIDCAP,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,3.1
AXIS_MIDCAP,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.2
AXIS_MIDCAP,INE176A01028,BATAINDIA,Bata India Ltd,Consumer Discretionary,Mid Cap,2.5
AXIS_MIDCAP,INE171A01029,FEDERALBNK,Federal Bank Ltd,Financial Services,Mid Cap,3.1
AXIS_MIDCAP,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,2.8
AXIS_MIDCAP,INE578A01017,SUPREMEIND,Supreme Industries Ltd,Capital Goods,Mid Cap,2.6
AXIS_MIDCAP,INE414G01012,MUTHOOTFIN,Muthoot Finance Ltd,Financial Services,Mid Cap,2.4
AXIS_MIDCAP,INE326A01037,LUPIN,Lupin Ltd,Healthcare,Mid Cap,2.2
AXIS_MIDCAP,INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance,Financial Services,Mid Cap,2.6
AXIS_MIDCAP,INE111A01025,CONCOR,Container Corporation of India Ltd,Services / Logistics,Mid Cap,2.0
AXIS_MIDCAP,INE196A01026,MARICO,Marico Ltd,Fast Moving Consumer Goods,Mid Cap,1.8
SBI_MAGNUM_MID,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,4.5
SBI_MAGNUM_MID,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,4.2
SBI_MAGNUM_MID,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.9
SBI_MAGNUM_MID,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.6
SBI_MAGNUM_MID,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.4
SBI_MAGNUM_MID,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.1
SBI_MAGNUM_MID,INE226A01021,VOLTAS,Voltas Ltd,Consumer Durables,Mid Cap,2.9
SBI_MAGNUM_MID,INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd,Metals & Mining,Mid Cap,2.8
SBI_MAGNUM_MID,INE061F01013,FORTIS,Fortis Healthcare Ltd,Healthcare,Mid Cap,2.6
SBI_MAGNUM_MID,INE171A01029,FEDERALBNK,Federal Bank Ltd,Financial Services,Mid Cap,2.5
SBI_MAGNUM_MID,INE660A01013,SUNDARMFIN,Sundaram Finance Ltd,Financial Services,Mid Cap,2.4
SBI_MAGNUM_MID,INE326A01037,LUPIN,Lupin Ltd,Healthcare,Mid Cap,2.2
SBI_MAGNUM_MID,INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Mid Cap,2.1
SBI_MAGNUM_MID,INE093I01010,OBEROIRLTY,Oberoi Realty Ltd,Real Estate,Mid Cap,1.9
SBI_MAGNUM_MID,INE674K01013,ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Mid Cap,2.0
NIPPON_MIDCAP,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,4.8
NIPPON_MIDCAP,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,4.2
NIPPON_MIDCAP,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,3.9
NIPPON_MIDCAP,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.6
NIPPON_MIDCAP,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.5
NIPPON_MIDCAP,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.3
NIPPON_MIDCAP,INE226A01021,VOLTAS,Voltas Ltd,Consumer Durables,Mid Cap,3.0
NIPPON_MIDCAP,INE006I01046,ASTRAL,Astral Ltd,Building Materials,Mid Cap,2.8
NIPPON_MIDCAP,INE356A01018,MPHASIS,Mphasis Ltd,Information Technology,Mid Cap,2.6
NIPPON_MIDCAP,INE171A01029,FEDERALBNK,Federal Bank Ltd,Financial Services,Mid Cap,2.5
NIPPON_MIDCAP,INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd,Metals & Mining,Mid Cap,2.4
NIPPON_MIDCAP,INE326A01037,LUPIN,Lupin Ltd,Healthcare,Mid Cap,2.2
NIPPON_MIDCAP,INE660A01013,SUNDARMFIN,Sundaram Finance Ltd,Financial Services,Mid Cap,2.1
NIPPON_MIDCAP,INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Mid Cap,2.0
NIPPON_MIDCAP,INE603J01030,PIIND,PI Industries Ltd,Chemicals / Agro,Mid Cap,1.9
DSP_MIDCAP,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,4.4
DSP_MIDCAP,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,4.1
DSP_MIDCAP,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.8
DSP_MIDCAP,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.6
DSP_MIDCAP,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,3.4
DSP_MIDCAP,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.2
DSP_MIDCAP,INE226A01021,VOLTAS,Voltas Ltd,Consumer Durables,Mid Cap,2.9
DSP_MIDCAP,INE171A01029,FEDERALBNK,Federal Bank Ltd,Financial Services,Mid Cap,2.7
DSP_MIDCAP,INE006I01046,ASTRAL,Astral Ltd,Building Materials,Mid Cap,2.5
DSP_MIDCAP,INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd,Metals & Mining,Mid Cap,2.4
DSP_MIDCAP,INE674K01013,ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Mid Cap,2.2
DSP_MIDCAP,INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance,Financial Services,Mid Cap,2.0
DSP_MIDCAP,INE414G01012,MUTHOOTFIN,Muthoot Finance Ltd,Financial Services,Mid Cap,1.9
DSP_MIDCAP,INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Mid Cap,1.8
DSP_MIDCAP,INE111A01025,CONCOR,Container Corporation of India Ltd,Services / Logistics,Mid Cap,1.7
ABSLLMIDCAP,INE935N01020,DIXON,Dixon Technologies (India) Ltd,Consumer Durables,Mid Cap,4.8
ABSLLMIDCAP,INE455K01017,POLYCAB,Polycab India Ltd,Capital Goods,Mid Cap,4.3
ABSLLMIDCAP,INE849A01020,TRENT,Trent Ltd,Consumer Services / Retail,Mid Cap,3.9
ABSLLMIDCAP,INE591G01017,COFORGE,Coforge Ltd,Information Technology,Mid Cap,3.6
ABSLLMIDCAP,INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,Mid Cap,3.4
ABSLLMIDCAP,INE262H01013,PERSISTENT,Persistent Systems Ltd,Information Technology,Mid Cap,3.2
ABSLLMIDCAP,INE226A01021,VOLTAS,Voltas Ltd,Consumer Durables,Mid Cap,3.0
ABSLLMIDCAP,INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd,Metals & Mining,Mid Cap,2.8
ABSLLMIDCAP,INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Mid Cap,2.6
ABSLLMIDCAP,INE061F01013,FORTIS,Fortis Healthcare Ltd,Healthcare,Mid Cap,2.4
ABSLLMIDCAP,INE176A01028,BATAINDIA,Bata India Ltd,Consumer Discretionary,Mid Cap,2.2
